x,y,headinng,sonar_ang,read,expected
-35.0,100.0,-90.0,90.0,99.0,Infinity
-35.0,100.0,-90.0,89.0,100.0,Infinity
-35.0,100.0,-90.0,88.0,114.0,Infinity
-35.0,100.0,-90.0,87.0,99.0,Infinity
-35.0,100.0,-90.0,86.0,100.0,Infinity
-35.0,100.0,-90.0,85.0,115.0,Infinity
-35.0,100.0,-90.0,84.0,100.0,Infinity
-35.0,100.0,-90.0,83.0,100.0,Infinity
-35.0,100.0,-90.0,82.0,99.0,Infinity
-35.0,100.0,-90.0,81.0,99.0,Infinity
-35.0,100.0,-90.0,80.0,100.0,Infinity
-35.0,100.0,-90.0,79.0,115.0,Infinity
-35.0,100.0,-90.0,78.0,115.0,Infinity
-35.0,100.0,-90.0,77.0,115.0,Infinity
-35.0,100.0,-90.0,76.0,114.0,Infinity
-35.0,100.0,-90.0,75.0,114.0,Infinity
-35.0,100.0,-90.0,74.0,114.0,Infinity
-35.0,100.0,-90.0,73.0,114.0,Infinity
-35.0,100.0,-90.0,72.0,114.0,Infinity
-35.0,100.0,-90.0,71.0,114.0,Infinity
-35.0,100.0,-90.0,70.0,114.0,Infinity
-35.0,100.0,-90.0,69.0,115.0,Infinity
-35.0,100.0,-90.0,68.0,115.0,Infinity
-35.0,100.0,-90.0,67.0,115.0,Infinity
-35.0,100.0,-90.0,66.0,115.0,Infinity
-35.0,100.0,-90.0,65.0,114.0,Infinity
-35.0,100.0,-90.0,64.0,114.0,Infinity
-35.0,100.0,-90.0,63.0,114.0,Infinity
-35.0,100.0,-90.0,62.0,114.0,Infinity
-35.0,100.0,-90.0,61.0,114.0,Infinity
-35.0,100.0,-90.0,60.0,114.0,Infinity
-35.0,100.0,-90.0,59.0,114.0,Infinity
-35.0,100.0,-90.0,58.0,114.0,Infinity
-35.0,100.0,-90.0,57.0,114.0,Infinity
-35.0,100.0,-90.0,56.0,114.0,Infinity
-35.0,100.0,-90.0,55.0,114.0,Infinity
-35.0,100.0,-90.0,54.0,114.0,Infinity
-35.0,100.0,-90.0,53.0,114.0,Infinity
-35.0,100.0,-90.0,52.0,114.0,Infinity
-35.0,100.0,-90.0,51.0,114.0,Infinity
-35.0,100.0,-90.0,50.0,114.0,Infinity
-35.0,100.0,-90.0,49.0,114.0,Infinity
-35.0,100.0,-90.0,48.0,114.0,Infinity
-35.0,100.0,-90.0,47.0,114.0,Infinity
-35.0,100.0,-90.0,46.0,114.0,Infinity
-35.0,100.0,-90.0,45.0,114.0,Infinity
-35.0,100.0,-90.0,44.0,114.0,Infinity
-35.0,100.0,-90.0,43.0,114.0,Infinity
-35.0,100.0,-90.0,42.0,114.0,Infinity
-35.0,100.0,-90.0,41.0,114.0,Infinity
-35.0,100.0,-90.0,40.0,114.0,Infinity
-35.0,100.0,-90.0,39.0,114.0,Infinity
-35.0,100.0,-90.0,38.0,114.0,Infinity
-35.0,100.0,-90.0,37.0,114.0,Infinity
-35.0,100.0,-90.0,36.0,114.0,Infinity
-35.0,100.0,-90.0,35.0,114.0,Infinity
-35.0,100.0,-90.0,34.0,114.0,Infinity
-35.0,100.0,-90.0,33.0,114.0,Infinity
-35.0,100.0,-90.0,32.0,114.0,Infinity
-35.0,100.0,-90.0,31.0,114.0,Infinity
-35.0,100.0,-90.0,30.0,114.0,Infinity
-35.0,100.0,-90.0,29.0,114.0,Infinity
-35.0,100.0,-90.0,28.0,114.0,Infinity
