ang10,ang11,ang12,ang13,ang14,ang15,ang16,ang17,ang18,ang19,ang20,ang21,ang22,ang23,ang24,ang25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9848221323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9399775303,0.9848221323,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8674709874,0.9399775303,0.9848221323,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7707203483,0.8674709874,0.9399775303,0.9848221323,1,1,1,1,1,1,1,1,1,1,1,1
0.654490283,0.7707203483,0.8674709874,0.9399775303,0.9848221323,1,1,1,1,1,1,1,1,1,1,1
0.5250255769,0.654490283,0.7707203483,0.8674709874,0.9399775303,0.9848221323,1,1,1,1,1,1,1,1,1,1
0.3900101222,0.5250255769,0.654490283,0.7707203483,0.8674709874,0.9399775303,0.9848221323,1,1,1,1,1,1,1,1,1
2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297,3.969586231,4,4,4,4,4,4,4,4
1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297,3.969586231,4,4,4,4,4,4,4
1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297,3.969586231,4,4,4,4,4,4
1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297,3.969586231,4,4,4,4,4
0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297,3.969586231,4,4,4,4
0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297,3.969586231,4,4,4
0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297,3.969586231,4,4
0.05578609207,0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297,3.969586231,4
0.000224181349,0.05578609207,0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297,3.969586231
0.08099025012,0.000224181349,0.05578609207,0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439,3.879026297
0.3284579237,0.08099025012,0.000224181349,0.05578609207,0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947,3.730233439
0.7762224088,0.3284579237,0.08099025012,0.000224181349,0.05578609207,0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758,3.526533947
1.461412633,0.7762224088,0.3284579237,0.08099025012,0.000224181349,0.05578609207,0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551,3.272501758
2.425030604,1.461412633,0.7762224088,0.3284579237,0.08099025012,0.000224181349,0.05578609207,0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216,2.275937973,2.63902593,2.974198551
0.8588376199,0.3105286509,0.04363461748,0.01415270666,0.1822329481,0.5118145299,0.9702788078,1.528167684,2.158896531,2.838535471,3.545571888,4.260785498,4.966962003,5.648908793,6.293180404,6.888041738
1.737166314,0.8588376199,0.3105286509,0.04363461748,0.01415270666,0.1822329481,0.5118145299,0.9702788078,1.528167684,2.158896531,2.838535471,3.545571888,4.260785498,4.966962003,5.648908793,6.293180404
7.4627942,5.373198418,3.712307469,2.425030604,1.461412633,0.7762224088,0.3284579237,0.08099025012,0.000224181349,0.05578609207,0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577,1.89542216
10.04190009,7.4627942,5.373198418,3.712307469,2.425030604,1.461412633,0.7762224088,0.3284579237,0.08099025012,0.000224181349,0.05578609207,0.2202597511,0.468944712,0.7796340829,1.132451452,1.509625577
6.917427326,4.70410865,2.999171153,1.737166314,0.8588376199,0.3105286509,0.04363461748,0.01415270666,0.1822329481,0.5118145299,0.9702788078,1.528167684,2.158896531,2.838535471,3.545571888,4.260785498
4.478768522,2.657226826,1.366317208,0.5355481058,0.1011342095,0.005367771315,0.1960266978,0.6258566023,1.252083005,2.036007972,2.94263881,3.940333434,5.000549276,6.097533311,7.208126231,8.311509693
