x,y,headinng,sonar_ang,read,expected
5.0,68.0,-90.0,90.0,59.0,17.101518630981445
5.0,68.0,-90.0,89.0,59.0,16.180341720581055
5.0,68.0,-90.0,88.0,59.0,15.357763290405273
5.0,68.0,-90.0,87.0,59.0,14.619023323059082
5.0,68.0,-90.0,86.0,59.0,13.952138900756836
5.0,68.0,-90.0,85.0,59.0,13.347335815429688
5.0,68.0,-90.0,84.0,59.0,12.796527862548828
5.0,68.0,-90.0,83.0,59.0,12.292962074279785
5.0,68.0,-90.0,82.0,59.0,11.831014633178711
5.0,68.0,-90.0,81.0,59.0,11.405858993530273
5.0,68.0,-90.0,80.0,59.0,11.013442993164062
5.0,68.0,-90.0,79.0,59.0,10.650273323059082
5.0,68.0,-90.0,78.0,59.0,10.313328742980957
5.0,68.0,-90.0,77.0,59.0,10.000000953674316
5.0,68.0,-90.0,76.0,59.0,9.70801830291748
5.0,68.0,-90.0,75.0,58.0,9.43539810180664
5.0,68.0,-90.0,74.0,58.0,9.18039321899414
5.0,68.0,-90.0,73.0,58.0,8.941457748413086
5.0,68.0,-90.0,72.0,58.0,8.717233657836914
5.0,68.0,-90.0,71.0,59.0,8.506510734558105
5.0,68.0,-90.0,70.0,59.0,8.308199882507324
5.0,68.0,-90.0,69.0,59.0,8.121342658996582
5.0,68.0,-90.0,68.0,59.0,7.945077419281006
5.0,68.0,-90.0,67.0,59.0,7.778621196746826
5.0,68.0,-90.0,66.0,59.0,7.621263027191162
5.0,68.0,-90.0,65.0,59.0,7.472382545471191
5.0,68.0,-90.0,64.0,59.0,7.3313984870910645
5.0,68.0,-90.0,63.0,59.0,7.197782039642334
5.0,68.0,-90.0,62.0,59.0,7.071067810058594
5.0,68.0,-90.0,61.0,59.0,6.95081901550293
5.0,68.0,-90.0,60.0,59.0,6.836636543273926
5.0,68.0,-90.0,59.0,60.0,6.7281646728515625
5.0,68.0,-90.0,58.0,60.0,6.62506103515625
5.0,68.0,-90.0,57.0,60.0,6.527034759521484
5.0,68.0,-90.0,56.0,60.0,6.433797836303711
5.0,68.0,-90.0,55.0,60.0,6.345089435577393
5.0,68.0,-90.0,54.0,60.0,6.260682106018066
5.0,68.0,-90.0,53.0,61.0,6.18034029006958
5.0,68.0,-90.0,52.0,61.0,6.103872776031494
5.0,68.0,-90.0,51.0,62.0,6.031089782714844
5.0,68.0,-90.0,50.0,61.0,5.961817264556885
5.0,68.0,-90.0,49.0,62.0,5.895890235900879
5.0,68.0,-90.0,48.0,62.0,5.83316707611084
5.0,68.0,-90.0,47.0,63.0,5.773501396179199
5.0,68.0,-90.0,46.0,65.0,5.716770648956299
5.0,68.0,-90.0,45.0,65.0,5.6628499031066895
5.0,68.0,-90.0,44.0,64.0,5.611629009246826
5.0,68.0,-90.0,43.0,64.0,5.563011646270752
5.0,68.0,-90.0,42.0,135.0,5.5168914794921875
5.0,68.0,-90.0,41.0,255.0,5.473181247711182
5.0,68.0,-90.0,40.0,136.0,5.431802272796631
5.0,68.0,-90.0,39.0,255.0,5.392672061920166
5.0,68.0,-90.0,38.0,133.0,5.355724811553955
5.0,68.0,-90.0,37.0,133.0,5.320889949798584
5.0,68.0,-90.0,36.0,133.0,5.28810453414917
5.0,68.0,-90.0,35.0,133.0,5.257310390472412
5.0,68.0,-90.0,34.0,133.0,5.228459358215332
5.0,68.0,-90.0,33.0,133.0,5.201498031616211
5.0,68.0,-90.0,32.0,132.0,5.176382541656494
5.0,68.0,-90.0,31.0,132.0,5.153069019317627
5.0,68.0,-90.0,30.0,9.0,5.131520748138428
5.0,68.0,-90.0,29.0,8.0,5.111702919006348
5.0,68.0,-90.0,28.0,8.0,5.093583583831787
5.0,68.0,-90.0,27.0,7.0,5.077132225036621
5.0,68.0,-90.0,26.0,7.0,5.062325954437256
5.0,68.0,-90.0,25.0,7.0,5.049138069152832
