x,y,headinng,sonar_ang,read,expected
60.0,68.0,-90.0,90.0,58.0,65.6138687133789
60.0,68.0,-90.0,89.0,58.0,65.6138687133789
60.0,68.0,-90.0,88.0,58.0,65.6138687133789
60.0,68.0,-90.0,87.0,58.0,65.6138687133789
60.0,68.0,-90.0,86.0,58.0,65.6138687133789
60.0,68.0,-90.0,85.0,59.0,65.6138687133789
60.0,68.0,-90.0,84.0,59.0,65.6138687133789
60.0,68.0,-90.0,83.0,59.0,65.6138687133789
60.0,68.0,-90.0,82.0,59.0,65.6138687133789
60.0,68.0,-90.0,81.0,59.0,65.6138687133789
60.0,68.0,-90.0,80.0,59.0,65.6138687133789
60.0,68.0,-90.0,79.0,59.0,65.6138687133789
60.0,68.0,-90.0,78.0,59.0,65.6138687133789
60.0,68.0,-90.0,77.0,59.0,65.6138687133789
60.0,68.0,-90.0,76.0,59.0,65.6138687133789
60.0,68.0,-90.0,75.0,59.0,65.6138687133789
60.0,68.0,-90.0,74.0,59.0,65.6138687133789
60.0,68.0,-90.0,73.0,59.0,65.6138687133789
60.0,68.0,-90.0,72.0,59.0,65.6138687133789
60.0,68.0,-90.0,71.0,59.0,65.6138687133789
60.0,68.0,-90.0,70.0,59.0,65.63262176513672
60.0,68.0,-90.0,69.0,59.0,65.67142486572266
60.0,68.0,-90.0,68.0,59.0,65.73026275634766
60.0,68.0,-90.0,67.0,59.0,65.80921936035156
60.0,68.0,-90.0,66.0,59.0,65.9085693359375
60.0,68.0,-90.0,65.0,59.0,66.02833557128906
60.0,68.0,-90.0,64.0,59.0,66.16877746582031
60.0,68.0,-90.0,63.0,60.0,66.32994079589844
60.0,68.0,-90.0,62.0,60.0,66.51238250732422
60.0,68.0,-90.0,61.0,60.0,66.71597290039062
60.0,68.0,-90.0,60.0,60.0,66.9412841796875
60.0,68.0,-90.0,59.0,60.0,67.18883514404297
60.0,68.0,-90.0,58.0,60.0,67.4586410522461
60.0,68.0,-90.0,57.0,60.0,67.75172424316406
60.0,68.0,-90.0,56.0,61.0,68.06790924072266
60.0,68.0,-90.0,55.0,61.0,68.4080810546875
60.0,68.0,-90.0,54.0,61.0,68.77269744873047
60.0,68.0,-90.0,53.0,61.0,69.16218566894531
60.0,68.0,-90.0,52.0,61.0,69.57787322998047
60.0,68.0,-90.0,51.0,61.0,70.01944732666016
60.0,68.0,-90.0,50.0,63.0,70.48866271972656
60.0,68.0,-90.0,49.0,255.0,70.75070190429688
60.0,68.0,-90.0,48.0,255.0,69.99800872802734
60.0,68.0,-90.0,47.0,255.0,69.28203582763672
60.0,68.0,-90.0,46.0,63.0,68.60124206542969
60.0,68.0,-90.0,45.0,63.0,67.9542007446289
60.0,68.0,-90.0,44.0,255.0,67.3395767211914
60.0,68.0,-90.0,43.0,255.0,66.75611877441406
60.0,68.0,-90.0,42.0,255.0,66.20267486572266
60.0,68.0,-90.0,41.0,255.0,65.67817687988281
60.0,68.0,-90.0,40.0,63.0,65.18162536621094
60.0,68.0,-90.0,39.0,255.0,64.71208190917969
60.0,68.0,-90.0,38.0,255.0,64.2686996459961
60.0,68.0,-90.0,37.0,255.0,63.85066604614258
60.0,68.0,-90.0,36.0,255.0,63.45724105834961
60.0,68.0,-90.0,35.0,62.0,63.08773422241211
