x,y,headinng,sonar_ang,read,expected
20.0,68.0,-90.0,90.0,58.0,64.52335357666016
20.0,68.0,-90.0,89.0,58.0,64.52335357666016
20.0,68.0,-90.0,88.0,58.0,61.43105697631836
20.0,68.0,-90.0,87.0,58.0,58.47609329223633
20.0,68.0,-90.0,86.0,58.0,55.808555603027344
20.0,68.0,-90.0,85.0,58.0,53.38934326171875
20.0,68.0,-90.0,84.0,58.0,51.18609619140625
20.0,68.0,-90.0,83.0,58.0,49.1718635559082
20.0,68.0,-90.0,82.0,58.0,47.32403564453125
20.0,68.0,-90.0,81.0,58.0,45.623443603515625
20.0,68.0,-90.0,80.0,58.0,44.05378723144531
20.0,68.0,-90.0,79.0,58.0,42.6010856628418
20.0,68.0,-90.0,78.0,58.0,41.2533073425293
20.0,68.0,-90.0,77.0,59.0,40.000003814697266
20.0,68.0,-90.0,76.0,59.0,38.83207321166992
20.0,68.0,-90.0,75.0,59.0,37.74159622192383
20.0,68.0,-90.0,74.0,59.0,36.72157287597656
20.0,68.0,-90.0,73.0,59.0,35.765830993652344
20.0,68.0,-90.0,72.0,59.0,34.868934631347656
20.0,68.0,-90.0,71.0,59.0,34.02604293823242
20.0,68.0,-90.0,70.0,59.0,33.2327995300293
20.0,68.0,-90.0,69.0,59.0,32.485382080078125
20.0,68.0,-90.0,68.0,59.0,31.780309677124023
20.0,68.0,-90.0,67.0,59.0,31.114473342895508
20.0,68.0,-90.0,66.0,59.0,30.485057830810547
20.0,68.0,-90.0,65.0,59.0,29.889530181884766
20.0,68.0,-90.0,64.0,60.0,29.32558250427246
20.0,68.0,-90.0,63.0,59.0,28.791128158569336
20.0,68.0,-90.0,62.0,60.0,28.284271240234375
20.0,68.0,-90.0,61.0,60.0,27.80327033996582
20.0,68.0,-90.0,60.0,59.0,27.346546173095703
20.0,68.0,-90.0,59.0,60.0,26.91265296936035
20.0,68.0,-90.0,58.0,60.0,26.500259399414062
20.0,68.0,-90.0,57.0,60.0,26.108144760131836
20.0,68.0,-90.0,56.0,60.0,25.735191345214844
20.0,68.0,-90.0,55.0,60.0,25.380361557006836
20.0,68.0,-90.0,54.0,60.0,25.042715072631836
20.0,68.0,-90.0,53.0,60.0,24.72136116027832
20.0,68.0,-90.0,52.0,61.0,24.415491104125977
20.0,68.0,-90.0,51.0,61.0,24.124359130859375
20.0,68.0,-90.0,50.0,61.0,23.847265243530273
20.0,68.0,-90.0,49.0,61.0,23.58356475830078
20.0,68.0,-90.0,48.0,61.0,23.33266830444336
20.0,68.0,-90.0,47.0,61.0,23.094009399414062
20.0,68.0,-90.0,46.0,62.0,22.867082595825195
20.0,68.0,-90.0,45.0,63.0,22.651399612426758
20.0,68.0,-90.0,44.0,64.0,22.446523666381836
20.0,68.0,-90.0,43.0,64.0,22.252038955688477
20.0,68.0,-90.0,42.0,25.0,22.06756019592285
20.0,68.0,-90.0,41.0,24.0,21.892724990844727
20.0,68.0,-90.0,40.0,24.0,21.72720718383789
20.0,68.0,-90.0,39.0,24.0,21.570693969726562
20.0,68.0,-90.0,38.0,24.0,21.42289924621582
20.0,68.0,-90.0,37.0,24.0,21.28355598449707
20.0,68.0,-90.0,36.0,24.0,21.15241241455078
20.0,68.0,-90.0,35.0,24.0,21.02924346923828
20.0,68.0,-90.0,34.0,24.0,20.913835525512695
20.0,68.0,-90.0,33.0,24.0,20.80599021911621
20.0,68.0,-90.0,32.0,24.0,20.705524444580078
20.0,68.0,-90.0,31.0,24.0,20.612272262573242
20.0,68.0,-90.0,30.0,24.0,20.526081085205078
20.0,68.0,-90.0,29.0,24.0,20.44681167602539
20.0,68.0,-90.0,28.0,24.0,20.37433433532715
20.0,68.0,-90.0,27.0,24.0,20.30853271484375
20.0,68.0,-90.0,26.0,24.0,20.24930191040039
20.0,68.0,-90.0,25.0,23.0,20.196552276611328
20.0,68.0,-90.0,24.0,23.0,20.150196075439453
20.0,68.0,-90.0,23.0,23.0,20.110164642333984
20.0,68.0,-90.0,22.0,23.0,20.076396942138672
20.0,68.0,-90.0,21.0,23.0,20.048837661743164
20.0,68.0,-90.0,20.0,23.0,20.027446746826172
20.0,68.0,-90.0,19.0,23.0,20.012191772460938
20.0,68.0,-90.0,18.0,23.0,20.0030460357666
20.0,68.0,-90.0,17.0,23.0,20.0
20.0,68.0,-90.0,16.0,23.0,20.0
20.0,68.0,-90.0,15.0,23.0,20.0
20.0,68.0,-90.0,14.0,23.0,20.0
20.0,68.0,-90.0,13.0,22.0,20.0
20.0,68.0,-90.0,12.0,22.0,20.0
20.0,68.0,-90.0,11.0,22.0,20.0
20.0,68.0,-90.0,10.0,22.0,20.0
20.0,68.0,-90.0,9.0,22.0,20.0
20.0,68.0,-90.0,8.0,22.0,20.0
20.0,68.0,-90.0,7.0,22.0,20.0
20.0,68.0,-90.0,6.0,22.0,20.0
20.0,68.0,-90.0,5.0,22.0,20.0
20.0,68.0,-90.0,4.0,22.0,20.0
20.0,68.0,-90.0,3.0,22.0,20.0
20.0,68.0,-90.0,2.0,22.0,20.0
20.0,68.0,-90.0,1.0,22.0,20.0
20.0,68.0,-90.0,-0.0,22.0,20.0
20.0,68.0,-90.0,-1.0,22.0,20.0
20.0,68.0,-90.0,-2.0,22.0,20.0
20.0,68.0,-90.0,-3.0,22.0,20.0
20.0,68.0,-90.0,-4.0,22.0,20.0
20.0,68.0,-90.0,-5.0,22.0,20.0
20.0,68.0,-90.0,-6.0,22.0,20.0
20.0,68.0,-90.0,-7.0,22.0,20.0
20.0,68.0,-90.0,-8.0,22.0,20.0
20.0,68.0,-90.0,-9.0,22.0,20.0
20.0,68.0,-90.0,-10.0,22.0,20.0
20.0,68.0,-90.0,-11.0,22.0,20.0
20.0,68.0,-90.0,-12.0,22.0,20.0
20.0,68.0,-90.0,-13.0,22.0,20.0
20.0,68.0,-90.0,-14.0,22.0,20.0
20.0,68.0,-90.0,-15.0,22.0,20.0
20.0,68.0,-90.0,-16.0,22.0,20.0
20.0,68.0,-90.0,-17.0,23.0,20.0
20.0,68.0,-90.0,-18.0,22.0,20.0030460357666
20.0,68.0,-90.0,-19.0,23.0,20.012191772460938
20.0,68.0,-90.0,-20.0,23.0,20.027446746826172
20.0,68.0,-90.0,-21.0,23.0,20.048837661743164
20.0,68.0,-90.0,-22.0,23.0,20.076396942138672
20.0,68.0,-90.0,-23.0,23.0,20.110166549682617
20.0,68.0,-90.0,-24.0,23.0,20.150196075439453
20.0,68.0,-90.0,-25.0,23.0,20.196550369262695
20.0,68.0,-90.0,-26.0,23.0,20.24930191040039
20.0,68.0,-90.0,-27.0,23.0,20.30853271484375
20.0,68.0,-90.0,-28.0,23.0,20.37433433532715
20.0,68.0,-90.0,-29.0,23.0,20.44681167602539
20.0,68.0,-90.0,-30.0,23.0,20.52608299255371
20.0,68.0,-90.0,-31.0,23.0,20.612272262573242
20.0,68.0,-90.0,-32.0,23.0,20.705522537231445
20.0,68.0,-90.0,-33.0,23.0,20.805988311767578
20.0,68.0,-90.0,-34.0,23.0,20.913835525512695
20.0,68.0,-90.0,-35.0,23.0,21.029245376586914
20.0,68.0,-90.0,-36.0,23.0,21.152414321899414
20.0,68.0,-90.0,-37.0,24.0,21.28355598449707
20.0,68.0,-90.0,-38.0,24.0,21.422901153564453
20.0,68.0,-90.0,-39.0,24.0,21.570693969726562
20.0,68.0,-90.0,-40.0,24.0,21.72720718383789
20.0,68.0,-90.0,-41.0,24.0,21.89272689819336
20.0,68.0,-90.0,-42.0,24.0,22.067556381225586
20.0,68.0,-90.0,-43.0,24.0,22.252038955688477
20.0,68.0,-90.0,-44.0,24.0,22.44652557373047
20.0,68.0,-90.0,-45.0,24.0,22.65140151977539
20.0,68.0,-90.0,-46.0,24.0,22.86707878112793
20.0,68.0,-90.0,-47.0,24.0,23.094011306762695
20.0,68.0,-90.0,-48.0,24.0,23.33266830444336
20.0,68.0,-90.0,-49.0,24.0,23.583568572998047
20.0,68.0,-90.0,-50.0,24.0,23.847265243530273
20.0,68.0,-90.0,-51.0,25.0,24.124359130859375
20.0,68.0,-90.0,-52.0,25.0,24.415491104125977
20.0,68.0,-90.0,-53.0,26.0,24.721357345581055
20.0,68.0,-90.0,-54.0,26.0,25.042713165283203
20.0,68.0,-90.0,-55.0,27.0,25.3803653717041
20.0,68.0,-90.0,-56.0,26.0,25.735191345214844
20.0,68.0,-90.0,-57.0,27.0,26.10814666748047
20.0,68.0,-90.0,-58.0,26.0,26.500263214111328
20.0,68.0,-90.0,-59.0,27.0,26.91265296936035
20.0,68.0,-90.0,-60.0,27.0,27.34654998779297
20.0,68.0,-90.0,-61.0,74.0,27.803272247314453
20.0,68.0,-90.0,-62.0,73.0,28.284271240234375
20.0,68.0,-90.0,-63.0,72.0,28.79113006591797
20.0,68.0,-90.0,-64.0,71.0,29.32558250427246
20.0,68.0,-90.0,-65.0,70.0,29.889530181884766
20.0,68.0,-90.0,-66.0,69.0,30.485063552856445
20.0,68.0,-90.0,-67.0,68.0,31.114473342895508
20.0,68.0,-90.0,-68.0,68.0,31.780315399169922
20.0,68.0,-90.0,-69.0,68.0,32.48538589477539
20.0,68.0,-90.0,-70.0,67.0,33.2327995300293
20.0,68.0,-90.0,-71.0,67.0,34.02603530883789
20.0,68.0,-90.0,-72.0,67.0,34.868934631347656
20.0,68.0,-90.0,-73.0,67.0,35.76583480834961
20.0,68.0,-90.0,-74.0,67.0,36.7215690612793
20.0,68.0,-90.0,-75.0,67.0,37.741600036621094
20.0,68.0,-90.0,-76.0,66.0,38.83207702636719
20.0,68.0,-90.0,-77.0,66.0,39.999996185302734
20.0,68.0,-90.0,-78.0,66.0,41.25331115722656
20.0,68.0,-90.0,-79.0,66.0,42.6010856628418
20.0,68.0,-90.0,-80.0,66.0,44.05378723144531
20.0,68.0,-90.0,-81.0,66.0,45.62343978881836
20.0,68.0,-90.0,-82.0,66.0,47.324031829833984
20.0,68.0,-90.0,-83.0,66.0,49.17186737060547
20.0,68.0,-90.0,-84.0,66.0,51.18609619140625
20.0,68.0,-90.0,-85.0,66.0,53.38934326171875
20.0,68.0,-90.0,-86.0,66.0,55.80855941772461
20.0,68.0,-90.0,-87.0,66.0,58.47608947753906
20.0,68.0,-90.0,-88.0,66.0,61.431068420410156
20.0,68.0,-90.0,-89.0,66.0,64.72135925292969
20.0,68.0,-90.0,-90.0,66.0,68.0
