x,y,headinng,sonar_ang,read,expected
40.0,68.0,-90.0,90.0,58.0,65.068603515625
40.0,68.0,-90.0,89.0,58.0,65.068603515625
40.0,68.0,-90.0,88.0,58.0,65.068603515625
40.0,68.0,-90.0,87.0,58.0,65.068603515625
40.0,68.0,-90.0,86.0,58.0,65.068603515625
40.0,68.0,-90.0,85.0,59.0,65.068603515625
40.0,68.0,-90.0,84.0,58.0,65.068603515625
40.0,68.0,-90.0,83.0,58.0,65.068603515625
40.0,68.0,-90.0,82.0,58.0,65.068603515625
40.0,68.0,-90.0,81.0,59.0,65.068603515625
40.0,68.0,-90.0,80.0,59.0,65.068603515625
40.0,68.0,-90.0,79.0,59.0,65.068603515625
40.0,68.0,-90.0,78.0,59.0,65.068603515625
40.0,68.0,-90.0,77.0,59.0,65.068603515625
40.0,68.0,-90.0,76.0,59.0,65.068603515625
40.0,68.0,-90.0,75.0,59.0,65.068603515625
40.0,68.0,-90.0,74.0,59.0,65.068603515625
40.0,68.0,-90.0,73.0,59.0,65.068603515625
40.0,68.0,-90.0,72.0,59.0,65.068603515625
40.0,68.0,-90.0,71.0,59.0,65.068603515625
40.0,68.0,-90.0,70.0,59.0,65.0871810913086
40.0,68.0,-90.0,69.0,59.0,64.97076416015625
40.0,68.0,-90.0,68.0,59.0,63.56062698364258
40.0,68.0,-90.0,67.0,60.0,62.228946685791016
40.0,68.0,-90.0,66.0,60.0,60.970123291015625
40.0,68.0,-90.0,65.0,60.0,59.77906036376953
40.0,68.0,-90.0,64.0,60.0,58.65117263793945
40.0,68.0,-90.0,63.0,60.0,57.58226013183594
40.0,68.0,-90.0,62.0,60.0,56.56854248046875
40.0,68.0,-90.0,61.0,60.0,55.606544494628906
40.0,68.0,-90.0,60.0,60.0,54.693092346191406
40.0,68.0,-90.0,59.0,60.0,53.825313568115234
40.0,68.0,-90.0,58.0,60.0,53.000518798828125
40.0,68.0,-90.0,57.0,61.0,52.21629333496094
40.0,68.0,-90.0,56.0,61.0,51.47038650512695
40.0,68.0,-90.0,55.0,61.0,50.7607307434082
40.0,68.0,-90.0,54.0,61.0,50.08543014526367
40.0,68.0,-90.0,53.0,61.0,49.442718505859375
40.0,68.0,-90.0,52.0,61.0,48.83098602294922
40.0,68.0,-90.0,51.0,61.0,48.24871826171875
40.0,68.0,-90.0,50.0,61.0,47.69453048706055
40.0,68.0,-90.0,49.0,62.0,47.167137145996094
40.0,68.0,-90.0,48.0,64.0,46.66533660888672
40.0,68.0,-90.0,47.0,65.0,46.188018798828125
40.0,68.0,-90.0,46.0,68.0,45.73416519165039
40.0,68.0,-90.0,45.0,69.0,45.302799224853516
40.0,68.0,-90.0,44.0,70.0,44.89305114746094
40.0,68.0,-90.0,43.0,70.0,44.50407791137695
40.0,68.0,-90.0,42.0,71.0,44.13511657714844
40.0,68.0,-90.0,41.0,72.0,43.78544998168945
40.0,68.0,-90.0,40.0,73.0,43.45441818237305
40.0,68.0,-90.0,39.0,165.0,43.141387939453125
40.0,68.0,-90.0,38.0,165.0,42.84579849243164
40.0,68.0,-90.0,37.0,44.0,42.56711196899414
40.0,68.0,-90.0,36.0,43.0,42.30482864379883
40.0,68.0,-90.0,35.0,43.0,42.05849075317383
40.0,68.0,-90.0,34.0,42.0,41.82767105102539
40.0,68.0,-90.0,33.0,42.0,41.61198043823242
40.0,68.0,-90.0,32.0,42.0,41.411048889160156
40.0,68.0,-90.0,31.0,42.0,41.224544525146484
40.0,68.0,-90.0,30.0,41.0,41.052162170410156
40.0,68.0,-90.0,29.0,41.0,40.89362335205078
40.0,68.0,-90.0,28.0,41.0,40.7486686706543
40.0,68.0,-90.0,27.0,41.0,40.6170654296875
